identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers
8605,6,9.509633333333333,18.9703,0.69,57.0578,1,1
8587,15,6.4286,24.5,0.225,96.429,1,1
8570,1,1.25,1.25,1.25,1.25,1,1
8598,19,6.334252631578947,32.245,0.065,120.35079999999999,1,1
8575,6,6.1499999999999995,15.8,2.5,36.9,1,1
8621,3,9.882181000000001,18.88,0.89,29.646543,1,1
8563,64,5.03678840625,19.939951,2.4,322.354458,1,1
8667,13,4.011775999999999,10.09,0.01,52.153088,1,1
8606,7,7.196857142857143,11.85,0.85,50.378,1,1
8569,7,3.438742857142857,4.02,1.6942,24.0712,1,1
8571,3,2.466666666666667,2.85,2.2,7.4,1,1
8658,2,0.27775,0.5,0.0555,0.5555,1,1
8585,6,1.2286666666666666,2.897,0.05,7.372,1,1
8641,10,9.151990000000001,32.0,0.0499,91.5199,1,1
8576,0,0.0,0.0,0.0,0.0,0,0
8580,17,4.164796588235294,5.69,0.1,70.801542,1,1
8568,22,8.892131681818183,10.34,2.6,195.626897,1,1
8616,8,2.7989113750000003,4.16,1.3,22.391291000000002,1,1
8647,5,4.2558777999999995,5.489989,0.0499,21.279389,1,1
8608,6,4.930968166666667,9.02,1.4,29.585809,1,1
8609,4,21.06725,28.869,0.99,84.269,1,1
8617,6,1.8079999999999998,2.69,1.0,10.847999999999999,1,1
8622,7,3.9971428571428573,11.6,0.99,27.98,1,1
8619,9,14.914444444444444,35.8,0.79,134.23,1,1
8624,7,2.971857142857143,7.206,0.45,20.803,1,1
8607,6,7.226665,18.83999,1.0,43.359989999999996,1,1
8652,12,8.595325,20.777,0.0499,103.1439,1,1
8642,20,9.822260250000001,29.42,0.0222,196.44520500000002,1,1
8661,4,1.04252925,3.2,0.030117,4.170117,1,1
8573,9,12.178788888888889,16.93,2.1001,109.6091,1,1
8593,3,0.36733333333333335,0.75,0.077,1.102,1,1
8648,17,3.509935294117647,5.999,0.0499,59.6689,1,1
8655,5,6.859100000000001,25.0,0.0555,34.295500000000004,1,1
8582,17,13.497576470588236,38.4,0.15,229.4588,1,1
8662,7,3.100027428571429,8.6543,0.043372,21.700192,1,1
8664,37,5.187216189189189,6.04,0.024399,191.926999,1,1
8471,5,0.7594000000000001,1.1,0.02,3.797,1,1
8541,11,7.7193452727272724,12.84,0.0198,84.912798,1,1
8542,18,6.580440555555556,27.33,0.0298,118.44793,1,1
8537,6,0.9189833333333333,2.8,0.0139,5.5139,1,1
8493,2,3.395,4.5,2.29,6.79,1,1
8490,5,10.459399999999999,15.11,1.5,52.297,1,1
8498,2,1.47,1.49,1.45,2.94,1,1
8554,8,7.2274987500000005,12.92999,3.5,57.819990000000004,1,1
8506,32,8.19753078125,17.83,0.25,262.320985,1,1
8496,8,4.4979735,9.078788,0.075,35.983788,1,1
8479,2,0.05,0.055,0.045,0.1,1,1
8523,10,5.3917,11.25,0.028,53.917,1,1
8495,6,0.9445,2.949,0.05,5.667,1,1
8533,6,2.106666666666667,3.7,0.39,12.64,1,1
8482,0,0.0,0.0,0.0,0.0,0,0
8544,16,3.4532375,11.999,0.0198,55.2518,1,1
8559,7,8.078100000000001,14.9497,0.03,56.5467,1,1
8525,3,2.036,6.0,0.049,6.108,1,1
8553,3,2.356,3.5,1.768,7.068,1,1
8475,3,0.2733333333333334,0.5,0.08,0.8200000000000001,1,1
8478,3,10.118599999999999,30.0503,0.0555,30.3558,1,1
8546,0,0.0,0.0,0.0,0.0,0,0
8514,2,1.5075,3.0,0.015,3.015,1,1
8535,10,10.08896,22.68,0.022,100.8896,1,1
8543,7,5.286842857142857,10.9,0.0279,37.0079,1,1
